scenario number,scenario id (system+first category+index),target system,alterations to system configuartion,additional context,category,injected fault,scenario description,canonical initial observations,ideal diagnosis example
73,DCAC.I.3,Doubly connected asymmetric chains,,,"Intermittent, Double",Loose switch-1-cable connection; loose swich-2-cable connection,"One switch 1-port-cable connection is loose, randomly resulting in an open circuit; same for switch 2","Both lamps occasionally turn off, sometimes independently, even when all switches are in the closed position and when this happens all control module LED indicators are off and all the supply module LEDs are on","Initial observations > belief: some connection loose around control module 1 and 2 > [proceeds with a search of the loose connection around those control modules, without being misled by non-anomalous observations taken when the connection holds]"
74,DCAC.I.4,Doubly connected asymmetric chains,,,Intermittent,Loose lamp-1-cable connection,"One lamp-1-cable connection is loose, randomly resulting in an open circuit","Lamp 1 occasionally turns off, even when all switches are in the closed position; All LED indicators are always on","Initial observations > belief: some connection loose in load module 1 > [proceeds with a search of the loose connection in load module 1, without being misled by non-anomalous observations taken when the connection holds]"
75,DCAC.I.5,Doubly connected asymmetric chains,,,Intermittent,Loose lamp-2-cable connection,"One lamp-2-cable connection is loose, randomly resulting in an open circuit","Lamp 2 occasionally turns off, even when all switches are in the closed position; All LED indicators are always on","Initial observations > belief: some connection loose in load module 2 > [proceeds with a search of the loose connection in load module 2, without being misled by non-anomalous observations taken when the connection holds]"
76,3CC-AS.S.1,3 cubes chain with ambient sensor,,,Simple,Depleted battery,Battery is depleted to 0V,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off; Adjustable timing and sensitivity potentiometers controls visible,Initial observations > belief: battery is KO > test battery > replace battery
77,3CC-AS.S.2,3 cubes chain with ambient sensor,,,Simple,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery
78,3CC-AS.S.3,3 cubes chain with ambient sensor,,,Simple,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
79,3CC-AS.S.4,3 cubes chain with ambient sensor,,,Simple,Disconnected relay,"One of the cables connected to the relay, belonging to the line the relay sections, has been detached",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
80,3CC-AS.S.5,3 cubes chain with ambient sensor,,,Simple,Burned lamp ,Burned main lamp filaments (lamp failed open),The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
81,3CC-AS.D.1,3 cubes chain with ambient sensor,,,Double,Depleted battery; Crossed supply-control cables,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
82,3CC-AS.D.2,3 cubes chain with ambient sensor,,,Double,Depleted battery;  Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
83,3CC-AS.D.3,3 cubes chain with ambient sensor,,,Double,Depleted battery;  Burned lamp,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > replace lamp
84,3CC-AS.D.4,3 cubes chain with ambient sensor,,,Double,Reversed battery polarity;  Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
85,3CC-AS.D.5,3 cubes chain with ambient sensor,,,Double,Crossed supply-control cables; Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
86,3CC-AS.M.1,3 cubes chain with ambient sensor,,,"Misleading, Double",Reversed battery polarity; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the battery is not reversed",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: battery was incorrectly installed >  replace battery
87,3CC-AS.M.2,3 cubes chain with ambient sensor,,,"Misleading, Multiple",Reversed battery polarity; Polarizing load LED open; Burned lamp,"Combination of the three failures, misleading because the LED indicator being on is not indicative of what is preventing the lamp from turning on, since the lamp is unpolarized in this configuration",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators   > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
88,3CC-AS.M.3,3 cubes chain with ambient sensor,,,"Misleading, Double",Crossed supply-control cables; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the cables are not crossed",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test relay > belief: no belief > test control module input > belief: control input cables are crossed > adjust cables
89,3CC-AS.M.4,3 cubes chain with ambient sensor,,,"Misleading, Double",Burned lamp; Open supply LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the issue is in the battery",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: open between battery and supply LED indicator or burned supply LED inidcator > test continuity between battery and supply LED indicator > replca LED indicator > observe LED indicators  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
90,3CC-AS.M.5,3 cubes chain with ambient sensor,,,"Misleading, Double",Burned lamp; Burned load lamp indicator,"Combination of the two failures, misleading because the load lamp indicator being off suggests the issues is not with the battery",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test relay > belief: no belief > test control module input > test control module output > belief: an open in the load module > test voltage at lamp ports > belief: lamp is KO > test lamp > replace lamp
91,3CC-AS.L.1,3 cubes chain with ambient sensor,all indicators removed,,Limited Observability,Depleted battery,Battery is depleted,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > replace battery
92,3CC-AS.L.2,3 cubes chain with ambient sensor,all indicators removed,,Limited Observability,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > belief: battery installed incorrectly > adjust battery
93,3CC-AS.L.3,3 cubes chain with ambient sensor,all indicators removed,,Limited Observability,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: battery or supply-control cables polarity reversed > test supply output > belief: supply-control cables reversed > adjust supply-control cables
94,3CC-AS.L.4,3 cubes chain with ambient sensor,all indicators removed,,Limited Observability,Disconnected relay,"One of the cables connected to the relay, belonging to the line the relay sections, has been detached",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > fault inside control module > inspect connections inside control module > knowledge: a cable is detached > reattach cable
95,3CC-AS.L.5,3 cubes chain with ambient sensor,all indicators removed,,Limited Observability,Burned lamp ,Burned lamp filaments (lamp failed open),The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > test load input > fault inside load module > inspect connections inside control module > test lamp > knowledge: lamp failed open > replace lamp
96,3CC-AS.I.1,3 cubes chain with ambient sensor,,,Intermittent,Loose battery-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit","The lamp occasionally turns off even when the ambient light is such the light should be on and when this happens all LED indicators are off (otherwise the green supply module LED and the lamp are both on, while the red control module indicator is OFF)",Initial observations  > belief: connection loose between the battery and the supply module LED > inspect cables between the battery and the supply module LED > adjust cables between the battery and the supply module LED
97,3CC-AS.I.2,3 cubes chain with ambient sensor,,,Intermittent,Loose supply-control connection,"One connection between the supply and control modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
98,3CC-AS.I.3,3 cubes chain with ambient sensor,,,Intermittent,Loose relay-cable connection,"One relay port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
99,3CC-AS.I.4,3 cubes chain with ambient sensor,,,Intermittent,Loose control-load connection,"One connection between the control and load modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
100,3CC-AS.I.5,3 cubes chain with ambient sensor,,,Intermittent,Loose lamp-cable connection,"One lamp-cable connection is loose (belonging to the line the relay sections), randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
101,3CC-AS.U.1,3 cubes chain with ambient sensor,,,"Unforeseen Interaction, Intermittent, Misleading",Lamp-sensor feedback loop,"Anomalous optical feedback loop beween the lamp and the sensor, due to incorrect sensor position, triggering oscillation. It is misleading due to the ineffectiveness of the potentiometer controls",Power supply LED on; Control module LED off; Lamp toggles off every ~20 seconds and back on; Adjustable timing and sensitivity potentiometers controls visible,Initial observations > belief: anomalous feedback loop between sensor and lamp > attempt to regulate the sensitivity potentiometer a few times > belief: sensitivity potentiometer is not relevant > belief: the anomalous loop presence is not a parametric problem > move/orient the sensor or directly or by moving/reorienting its module differently
102,3CC-AS.U.2,3 cubes chain with ambient sensor,,,"Unforeseen Interaction, Intermittent, Misleading, Double",Lamp-sensor feedback loop; Disconnected switch,Combination of the two failures,Power supply LED on; Control module LED off; Lamp is off; Adjustable timing and sensitivity potentiometers controls visible,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to switch > belief: there is another failure > [operate with the circuit enough to note the oscillating behavior] Initial observations > belief: anomalous feedback loop between sensor and lamp > attempt to regulate the sensitivity potentiometer a few times > belief: sensitivity potentiometer is not relevant > belief: the anomalous loop presence is not a parametric problem > move/orient the sensor or directly or by moving/reorienting its module differently
103,3CC-AS.U.3,3 cubes chain with ambient sensor,,,"Unforeseen Interaction, Intermittent, Misleading, Double",Lamp-sensor feedback loop; Open supply LED indicator,Combination of the two failures,Power supply LED off; Control module LED off; Lamp toggles off every ~20 seconds and back on; Adjustable timing and sensitivity potentiometers controls visible,Initial observations > belief: anomalous feedback loop between sensor and lamp > attempt to regulate the sensitivity potentiometer a few times > belief: sensitivity potentiometer is not relevant > belief: the anomalous loop presence is not a parametric problem > move/orient the sensor or directly or by moving/reorienting its module differently
104,3CC-AS.U.4,3 cubes chain with ambient sensor,all LED indicators removed,,"Unforeseen Interaction, Intermittent, Misleading, Limited Observability",Lamp-sensor feedback loop,"Anomalous optical feedback loop beween the lamp and the sensor, due to incorrect sensor position, triggering oscillation. It is misleading due to the ineffectiveness of the potentiometer controls",Lamp toggles off every ~20 seconds and back on; Adjustable timing and sensitivity potentiometers controls visible,Initial observations > belief: anomalous feedback loop between sensor and lamp > attempt to regulate the sensitivity potentiometer a few times > belief: sensitivity potentiometer is not relevant > belief: the anomalous loop presence is not a parametric problem > move/orient the sensor or directly or by moving/reorienting its module differently
105,3CC-AS.U.5,3 cubes chain with ambient sensor,,,"Unforeseen Interaction, Intermittent, Misleading, Double",Lamp-sensor feedback loop; Loose switch-1-cable connection,Combination of the two failures,Power supply LED indicator always on; Control module LED indicator always off; Lamp toggles off occasionally; Adjustable timing and sensitivity potentiometers controls visible,"Initial observations > belief: there is a loose connection downstream to the battery > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds] > adjust cable > belief: anomalous feedback loop between sensor and lamp > [attempts to regulate the sensitivity potentiometer a few times] > belief: sensitivity potentiometer is not relevant > belief: the anomalous loop presence is not a parametric problem > move/orient the sensor or directly or by moving/reorienting its module differently"
106,3CC-CS.S.1,3 cubes chain with current sensor,,,Simple,Depleted battery,Battery is depleted to 0V,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off; Adjustable timing and sensitivity potentiometers controls visible,Initial observations > belief: battery is KO > test battery > replace battery
107,3CC-CS.S.2,3 cubes chain with current sensor,,,Simple,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery
108,3CC-CS.S.3,3 cubes chain with current sensor,,,Simple,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
109,3CC-CS.S.4,3 cubes chain with current sensor,,,Simple,Disconnected relay,"One of the cables connected to the relay, belonging to the line the relay sections, has been detached",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
110,3CC-CS.S.5,3 cubes chain with current sensor,,,Simple,Burned lamp ,Burned main lamp filaments (lamp failed open),The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
111,3CC-CS.D.1,3 cubes chain with current sensor,,,Double,Depleted battery; Crossed supply-control cables,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
112,3CC-CS.D.2,3 cubes chain with current sensor,,,Double,Depleted battery;  Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
113,3CC-CS.D.3,3 cubes chain with current sensor,,,Double,Depleted battery;  Burned lamp,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > replace lamp
114,3CC-CS.D.4,3 cubes chain with current sensor,,,Double,Reversed battery polarity;  Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
115,3CC-CS.D.5,3 cubes chain with current sensor,,,Double,Crossed supply-control cables; Disconnected relay,Combination of the two failures,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to relay
116,3CC-CS.M.1,3 cubes chain with current sensor,,,"Misleading, Double",Reversed battery polarity; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the battery is not reversed",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: battery was incorrectly installed >  replace battery
117,3CC-CS.M.2,3 cubes chain with current sensor,,,"Misleading, Multiple",Reversed battery polarity; Polarizing load LED open; Burned lamp,"Combination of the three failures, misleading because the LED indicator being on is not indicative of what is preventing the lamp from turning on, since the lamp is unpolarized in this configuration",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators   > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
118,3CC-CS.M.3,3 cubes chain with current sensor,,,"Misleading, Double",Crossed supply-control cables; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the cables are not crossed",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test relay > belief: no belief > test control module input > belief: control input cables are crossed > adjust cables
119,3CC-CS.M.4,3 cubes chain with current sensor,,,"Misleading, Double",Burned lamp; Open supply LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the issue is in the battery",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: open between battery and supply LED indicator or burned supply LED inidcator > test continuity between battery and supply LED indicator > replca LED indicator > observe LED indicators  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
120,3CC-CS.M.5,3 cubes chain with current sensor,,,"Misleading, Double",Burned lamp; Burned load lamp indicator,"Combination of the two failures, misleading because the load lamp indicator being off suggests the issues is not with the battery",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test relay > belief: no belief > test control module input > test control module output > belief: an open in the load module > test voltage at lamp ports > belief: lamp is KO > test lamp > replace lamp
121,3CC-CS.L.1,3 cubes chain with current sensor,all indicators removed,,Limited Observability,Depleted battery,Battery is depleted,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > replace battery
122,3CC-CS.L.2,3 cubes chain with current sensor,all indicators removed,,Limited Observability,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > belief: battery installed incorrectly > adjust battery
123,3CC-CS.L.3,3 cubes chain with current sensor,all indicators removed,,Limited Observability,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: battery or supply-control cables polarity reversed > test supply output > belief: supply-control cables reversed > adjust supply-control cables
124,3CC-CS.L.4,3 cubes chain with current sensor,all indicators removed,,Limited Observability,Disconnected relay,"One of the cables connected to the relay, belonging to the line the relay sections, has been detached",The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > fault inside control module > inspect connections inside control module > knowledge: a cable is detached > reattach cable
125,3CC-CS.L.5,3 cubes chain with current sensor,all indicators removed,,Limited Observability,Burned lamp ,Burned lamp filaments (lamp failed open),The lamp does not turn on despite the ambient light conditions are such the lamp should be on; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > test load input > fault inside load module > inspect connections inside control module > test lamp > knowledge: lamp failed open > replace lamp
126,3CC-CS.I.1,3 cubes chain with current sensor,,,Intermittent,Loose battery-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit","The lamp occasionally turns off even when the ambient light is such the light should be on and when this happens all LED indicators are off (otherwise the green supply module LED and the lamp are both on, while the red control module indicator is OFF)",Initial observations  > belief: connection loose between the battery and the supply module LED > inspect cables between the battery and the supply module LED > adjust cables between the battery and the supply module LED
127,3CC-CS.I.2,3 cubes chain with current sensor,,,Intermittent,Loose supply-control connection,"One connection between the supply and control modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
128,3CC-CS.I.3,3 cubes chain with current sensor,,,Intermittent,Loose relay-cable connection,"One relay port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
129,3CC-CS.I.4,3 cubes chain with current sensor,,,Intermittent,Loose control-load connection,"One connection between the control and load modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
130,3CC-CS.I.5,3 cubes chain with current sensor,,,Intermittent,Loose lamp-cable connection,"One lamp-cable connection is loose (belonging to the line the relay sections), randomly resulting in an open circuit",The lamp occasionally turns off even when the ambient light is such the light should be on; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
131,3CC-CS.M.6,3 cubes chain with current sensor,,,Misleading,Open relay,"Relay failed always open, misleading because behavior not different statically from relay stuck open",Power supply LED on; Control module LED off; Lamp does not turn on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test control output > test voltage across relay ports > belief: lamp does not turn on because relay is open > replace relay
132,3CC-CS.M.7,3 cubes chain with current sensor,,,Misleading,Shorted main lamp,"Lamp short causing relay opening, misleading because behavior not different statically from relay stuck open",Power supply LED on; Control module LED off; Lamp does not turn on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test control output > test voltage across relay ports > belief: lamp does not turn on because relay is open > replace relay > belief: there is another failure > belief: there is a short downstream of the relay > test resistance across lamp > replace lamp
133,3CC-CS.M.8,3 cubes chain with current sensor,,,Misleading,Shorted small lamp indicator,"Small lamp indicator short causing relay opening, misleading because behavior not different statically from relay stuck open",Power supply LED on; Control module LED off; Lamp does not turn on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test control output > test voltage across relay ports > belief: lamp does not turn on because relay is open > replace relay > belief: there is another failure > belief: there is a short downstream of the relay > test resistance across lamp > test resistance across small lamp indicator > replace small lamp indicator
134,3CC-CS.M.9,3 cubes chain with current sensor,,,"Misleading, Double",Shorted main lamp; Open supply LED indicator,Combination of the two failures,Power supply LED off; Control module LED off; Lamp does not turn on,Initial observations  > belief: battery KO > test battery > belief: open between battery and supply indicator or supply indicator open > inspect connections between battery and supply indicator > test supply indicator > replace supply indicator > belief > there is another failure > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test control output > test voltage across relay ports > belief: lamp does not turn on because relay is open > replace relay > belief: there is another failure > belief: there is a short downstream of the relay > test resistance across lamp > replace lamp
135,3CC-CS.M.10,3 cubes chain with current sensor,all LED indicators removed,,"Misleading, Limited Observability",Shorted main lamp,"Lamp short causing relay opening, misleading because behavior not different statically from relay stuck open",All LED indicator missing; Lamp does not turn on,Initial observations  > belief: no belief > test control input > belief: fault downstream of control input > observe small lamp indicator > belief: fault upstream of small lamp indicator > test control ouput > inspect control module inside connections > test voltage across relay ports > belief: lamp does not turn on because relay is open > replace relay > belief: there is another failure > belief: there is a short downstream of the relay > test resistance across lamp > replace lamp
,,,,,,,,,
,,,,,,,,,
,Extra scenarios,,,,,,,,
,,10 cubes chain,,,Coupled,"Old id=14 → 10-cubes PSU short + depleted battery — this scenario is not in the CSV; it was one of the old extra scenarios. Looking at the CSV: 10CC.D.5 is ""Burned lamp; Disconnected switch 8"" and there's no PSU-short scenario. Old 14 needs to be looked up by fault_fns content.",,,
,,3 cubes chain,,,Simple,Switch open circuit,Internal open circuit in the switch: switch always open,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test switch > replace switch
